point_index,timestamp_ms,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
0,1743582554750,0.049444,-0.036111,0.037500,0.049444,0.049444,0.100000,0.111000,-0.017000,0.050000,0.071000,0.092000,0.155000,-138.000000,-1016.000000,-2429.000000,190.000000,-563.000000,-73.000000
1,1743582554756,0.098889,-0.072222,0.075000,0.098889,0.098889,0.200000,0.111000,-0.017000,0.049000,0.063000,0.092000,0.156000,-126.000000,-1033.000000,-2445.000000,220.000000,-560.000000,-78.000000
2,1743582554761,0.148333,-0.108333,0.112500,0.148333,0.148333,0.300000,0.111000,-0.017000,0.049000,0.056000,0.090000,0.155000,-138.000000,-1050.000000,-2446.000000,340.000000,-544.000000,-84.000000
3,1743582554765,0.197778,-0.144444,0.150000,0.197778,0.197778,0.400000,0.109000,-0.017000,0.048000,0.050000,0.089000,0.156000,-137.000000,-1072.000000,-2422.000000,360.000000,-540.000000,-69.000000
4,1743582554770,0.247222,-0.180556,0.187500,0.247222,0.247222,0.500000,0.109000,-0.017000,0.049000,0.039000,0.087000,0.155000,-150.000000,-1089.000000,-2439.000000,444.000000,-538.000000,-75.000000
5,1743582554776,0.296667,-0.216667,0.225000,0.296667,0.296667,0.600000,0.109000,-0.016000,0.048000,0.035000,0.086000,0.155000,-147.000000,-1108.000000,-2469.000000,453.000000,-527.000000,-87.000000
6,1743582554780,0.346111,-0.252778,0.262500,0.346111,0.346111,0.700000,0.107000,-0.015000,0.048000,0.030000,0.085000,0.155000,-151.000000,-1127.000000,-2477.000000,545.000000,-522.000000,-86.000000
7,1743582554786,0.395556,-0.288889,0.300000,0.395556,0.395556,0.800000,0.111000,-0.016000,0.048000,0.026000,0.085000,0.155000,-169.000000,-1142.000000,-2504.000000,490.000000,-538.000000,-97.000000
8,1743582554790,0.445000,-0.325000,0.337500,0.445000,0.445000,0.900000,0.107000,-0.015000,0.046000,0.019000,0.083000,0.152000,-178.000000,-1169.000000,-2505.000000,547.000000,-512.000000,-92.000000
9,1743582554796,0.494444,-0.361111,0.375000,0.494444,0.494444,1.000000,0.105000,-0.016000,0.046000,0.016000,0.083000,0.153000,-172.000000,-1176.000000,-2528.000000,582.000000,-535.000000,-81.000000
9,1743582554800,0.494444,-0.361111,0.375000,0.494444,0.494444,1.000000,0.105000,-0.016000,0.045000,0.013000,0.082000,0.155000,-162.000000,-1204.000000,-2550.000000,597.000000,-520.000000,-98.000000
11,1743582554806,0.593333,-0.433333,0.450000,0.593333,0.593333,1.200000,0.105000,-0.016000,0.045000,0.013000,0.082000,0.155000,-162.000000,-1204.000000,-2550.000000,597.000000,-520.000000,-98.000000
11,1743582554810,0.593333,-0.433333,0.450000,0.593333,0.593333,1.200000,0.104000,-0.017000,0.042000,0.008000,0.079000,0.153000,-168.000000,-1246.000000,-2527.000000,610.000000,-522.000000,-111.000000
12,1743582554815,0.642778,-0.469444,0.487500,0.642778,0.642778,1.300000,0.104000,-0.019000,0.044000,0.006000,0.076000,0.152000,-166.000000,-1259.000000,-2554.000000,608.000000,-502.000000,-83.000000
