point_index,timestamp_ms,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
0,1743596667488,0.049444,-0.036111,0.037500,0.049444,0.049444,0.100000,0.109000,-0.032000,0.049000,0.109000,0.148000,0.163000,-155.000000,-910.000000,-2377.000000,-169.000000,-1111.000000,-66.000000
1,1743596667493,0.098889,-0.072222,0.075000,0.098889,0.098889,0.200000,0.108000,-0.031000,0.049000,0.101000,0.146000,0.163000,-151.000000,-917.000000,-2386.000000,-97.000000,-1110.000000,-67.000000
2,1743596667498,0.148333,-0.108333,0.112500,0.148333,0.148333,0.300000,0.107000,-0.031000,0.049000,0.094000,0.145000,0.163000,-164.000000,-942.000000,-2393.000000,33.000000,-1113.000000,-84.000000
3,1743596667503,0.197778,-0.144444,0.150000,0.197778,0.197778,0.400000,0.107000,-0.031000,0.048000,0.082000,0.146000,0.163000,-168.000000,-972.000000,-2379.000000,171.000000,-1116.000000,-102.000000
4,1743596667508,0.247222,-0.180556,0.187500,0.247222,0.247222,0.500000,0.108000,-0.030000,0.046000,0.081000,0.145000,0.162000,-162.000000,-977.000000,-2359.000000,233.000000,-1121.000000,-99.000000
5,1743596667513,0.296667,-0.216667,0.225000,0.296667,0.296667,0.600000,0.107000,-0.030000,0.046000,0.065000,0.145000,0.162000,-153.000000,-1007.000000,-2398.000000,388.000000,-1129.000000,-89.000000
6,1743596667518,0.346111,-0.252778,0.262500,0.346111,0.346111,0.700000,0.105000,-0.030000,0.048000,0.054000,0.145000,0.160000,-164.000000,-1018.000000,-2421.000000,482.000000,-1125.000000,-88.000000
7,1743596667523,0.395556,-0.288889,0.300000,0.395556,0.395556,0.800000,0.105000,-0.030000,0.048000,0.054000,0.145000,0.160000,-164.000000,-1018.000000,-2421.000000,482.000000,-1125.000000,-88.000000
8,1743596667528,0.445000,-0.325000,0.337500,0.445000,0.445000,0.900000,0.104000,-0.028000,0.046000,0.046000,0.145000,0.160000,-179.000000,-1038.000000,-2426.000000,599.000000,-1132.000000,-91.000000
9,1743596667533,0.494444,-0.361111,0.375000,0.494444,0.494444,1.000000,0.105000,-0.030000,0.045000,0.026000,0.144000,0.162000,-188.000000,-1078.000000,-2454.000000,708.000000,-1130.000000,-92.000000
10,1743596667539,0.543889,-0.397222,0.412500,0.543889,0.543889,1.100000,0.105000,-0.030000,0.045000,0.026000,0.144000,0.162000,-188.000000,-1078.000000,-2454.000000,708.000000,-1130.000000,-92.000000
11,1743596667544,0.593333,-0.433333,0.450000,0.593333,0.593333,1.200000,0.103000,-0.031000,0.042000,0.013000,0.142000,0.160000,-185.000000,-1107.000000,-2491.000000,777.000000,-1137.000000,-98.000000
12,1743596667549,0.642778,-0.469444,0.487500,0.642778,0.642778,1.300000,0.103000,-0.031000,0.042000,0.013000,0.142000,0.160000,-185.000000,-1107.000000,-2491.000000,777.000000,-1137.000000,-98.000000
13,1743596667554,0.692222,-0.505556,0.525000,0.692222,0.692222,1.400000,0.103000,-0.031000,0.039000,0.002000,0.141000,0.157000,-199.000000,-1142.000000,-2485.000000,804.000000,-1140.000000,-87.000000
14,1743596667559,0.741667,-0.541667,0.562500,0.741667,0.741667,1.500000,0.103000,-0.031000,0.039000,0.002000,0.141000,0.157000,-199.000000,-1142.000000,-2485.000000,804.000000,-1140.000000,-87.000000
