point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
1,1743680385483130,0.049861,-0.036528,0.037917,0.049861,0.035972,0.100417,0.104000,-0.020000,0.046000,0.027000,0.050000,0.152000,-156.000000,-949.000000,-2351.000000,124.000000,-367.000000,-99.000000
4,1743680385488709,0.055955,-0.042622,0.044010,0.055955,0.042066,0.106510,0.104000,-0.020000,0.045000,0.027000,0.049000,0.151000,-147.000000,-965.000000,-2343.000000,128.000000,-345.000000,-97.000000
6,1743680385493118,0.067309,-0.053976,0.055365,0.067309,0.053420,0.117865,0.105000,-0.020000,0.045000,0.026000,0.049000,0.153000,-167.000000,-978.000000,-2358.000000,129.000000,-367.000000,-122.000000
8,1743680385498598,0.087413,-0.074080,0.075469,0.087413,0.073524,0.137969,0.104000,-0.020000,0.045000,0.026000,0.048000,0.152000,-174.000000,-996.000000,-2319.000000,127.000000,-343.000000,-122.000000
10,1743680385502958,0.118767,-0.105434,0.106823,0.118767,0.104878,0.169323,0.103000,-0.022000,0.044000,0.026000,0.046000,0.151000,-186.000000,-1013.000000,-2348.000000,129.000000,-336.000000,-104.000000
13,1743680385508381,0.192361,-0.179028,0.180417,0.192361,0.178472,0.242917,0.103000,-0.017000,0.045000,0.024000,0.045000,0.149000,-154.000000,-1028.000000,-2395.000000,133.000000,-343.000000,-102.000000
15,1743680385512745,0.262778,-0.249444,0.250833,0.262778,0.248889,0.313333,0.101000,-0.017000,0.044000,0.024000,0.045000,0.151000,-170.000000,-1058.000000,-2391.000000,142.000000,-349.000000,-114.000000
17,1743680385518196,0.353194,-0.339861,0.341250,0.353194,0.339306,0.403750,0.100000,-0.017000,0.044000,0.026000,0.043000,0.149000,-182.000000,-1064.000000,-2401.000000,152.000000,-335.000000,-113.000000
20,1743680385523705,0.531788,-0.518455,0.519844,0.531788,0.517899,0.582344,0.101000,-0.017000,0.042000,0.024000,0.042000,0.148000,-174.000000,-1095.000000,-2433.000000,152.000000,-350.000000,-108.000000
22,1743680385528115,0.683142,-0.669809,0.671198,0.683142,0.669253,0.733698,0.100000,-0.020000,0.044000,0.026000,0.042000,0.148000,-186.000000,-1108.000000,-2439.000000,156.000000,-360.000000,-111.000000
