point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
0,1743685860709631,0.049497,-0.036163,0.037552,0.049497,0.035608,0.100052,0.039000,0.001000,0.000000,0.012000,0.006000,0.023000,30.000000,-2034.000000,-1336.000000,-1364.000000,37.000000,96.000000
1,1743685860715184,0.049861,-0.036528,0.037917,0.049861,0.035972,0.100417,0.039000,0.001000,0.000000,0.012000,0.006000,0.023000,30.000000,-2034.000000,-1336.000000,-1364.000000,37.000000,96.000000
2,1743685860719647,0.050851,-0.037517,0.038906,0.050851,0.036962,0.101406,0.039000,0.001000,0.000000,0.012000,0.009000,0.024000,50.000000,-2011.000000,-1333.000000,-1381.000000,8.000000,41.000000
3,1743685860725277,0.052778,-0.039444,0.040833,0.052778,0.038889,0.103333,0.041000,0.000000,0.000000,0.012000,0.008000,0.023000,74.000000,-1999.000000,-1373.000000,-1427.000000,-3.000000,25.000000
4,1743685860729721,0.055955,-0.042622,0.044010,0.055955,0.042066,0.106510,0.039000,0.001000,-0.001000,0.013000,0.008000,0.026000,104.000000,-1997.000000,-1405.000000,-1430.000000,0.000000,47.000000
5,1743685860735343,0.060694,-0.047361,0.048750,0.060694,0.046806,0.111250,0.039000,0.000000,0.000000,0.012000,0.008000,0.024000,116.000000,-2015.000000,-1383.000000,-1423.000000,1.000000,86.000000
6,1743685860739820,0.067309,-0.053976,0.055365,0.067309,0.053420,0.117865,0.041000,0.000000,0.000000,0.012000,0.008000,0.024000,128.000000,-2032.000000,-1336.000000,-1417.000000,8.000000,88.000000
7,1743685860745401,0.076111,-0.062778,0.064167,0.076111,0.062222,0.126667,0.039000,0.001000,0.000000,0.012000,0.008000,0.024000,147.000000,-2053.000000,-1325.000000,-1420.000000,13.000000,106.000000
8,1743685860749805,0.087413,-0.074080,0.075469,0.087413,0.073524,0.137969,0.042000,0.000000,0.000000,0.012000,0.009000,0.024000,151.000000,-2066.000000,-1311.000000,-1411.000000,13.000000,83.000000
9,1743685860755340,0.101528,-0.088194,0.089583,0.101528,0.087639,0.152083,0.041000,0.000000,0.001000,0.012000,0.008000,0.023000,157.000000,-2087.000000,-1281.000000,-1403.000000,12.000000,59.000000
10,1743685860760809,0.118767,-0.105434,0.106823,0.118767,0.104878,0.169323,0.043000,0.000000,0.000000,0.012000,0.009000,0.026000,146.000000,-2096.000000,-1277.000000,-1413.000000,27.000000,75.000000
11,1743685860766309,0.139444,-0.126111,0.127500,0.139444,0.125556,0.190000,0.043000,0.000000,0.000000,0.011000,0.008000,0.023000,139.000000,-2117.000000,-1255.000000,-1404.000000,39.000000,41.000000
12,1743685860770758,0.163872,-0.150538,0.151927,0.163872,0.149983,0.214427,0.045000,0.001000,0.001000,0.012000,0.008000,0.023000,153.000000,-2133.000000,-1230.000000,-1389.000000,35.000000,111.000000
13,1743685860776335,0.192361,-0.179028,0.180417,0.192361,0.178472,0.242917,0.043000,0.000000,0.000000,0.012000,0.009000,0.024000,138.000000,-2150.000000,-1198.000000,-1374.000000,40.000000,106.000000
