point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5,canfd_call_timestamp_us
1,1744086627469957,0.049471,-0.036138,0.037527,0.049471,0.035582,0.100027,0.109000,-0.024000,0.046000,0.060000,0.057000,0.157000,-182.000000,-902.000000,-2230.000000,-179.000000,-415.000000,-93.000000,1744086627469092
3,1744086627474443,0.049658,-0.036324,0.037713,0.049658,0.035769,0.100213,0.107000,-0.024000,0.046000,0.059000,0.057000,0.157000,-200.000000,-928.000000,-2233.000000,-179.000000,-431.000000,-102.000000,1744086627473441
6,1744086627480020,0.050588,-0.037254,0.038643,0.050588,0.036699,0.101143,0.108000,-0.024000,0.046000,0.059000,0.057000,0.157000,-190.000000,-945.000000,-2253.000000,-181.000000,-408.000000,-106.000000,1744086627480002
8,1744086627484510,0.051874,-0.038541,0.039930,0.051874,0.037986,0.102430,0.108000,-0.023000,0.045000,0.059000,0.054000,0.157000,-174.000000,-964.000000,-2227.000000,-195.000000,-397.000000,-104.000000,1744086627484323
10,1744086627490020,0.053881,-0.040548,0.041937,0.053881,0.039992,0.104437,0.105000,-0.023000,0.044000,0.057000,0.056000,0.156000,-181.000000,-991.000000,-2232.000000,-189.000000,-408.000000,-91.000000,1744086627488662
12,1744086627494475,0.056768,-0.043434,0.044823,0.056768,0.042879,0.107323,0.107000,-0.023000,0.044000,0.056000,0.053000,0.156000,-177.000000,-994.000000,-2222.000000,-194.000000,-389.000000,-83.000000,1744086627493017
15,1744086627500168,0.063098,-0.049764,0.051153,0.063098,0.049209,0.113653,0.105000,-0.024000,0.044000,0.054000,0.053000,0.156000,-192.000000,-1022.000000,-2253.000000,-178.000000,-408.000000,-92.000000,1744086627499569
17,1744086627504672,0.068884,-0.055551,0.056940,0.068884,0.054996,0.119440,0.104000,-0.023000,0.044000,0.053000,0.052000,0.155000,-178.000000,-1041.000000,-2283.000000,-181.000000,-398.000000,-102.000000,1744086627503935
19,1744086627510239,0.076111,-0.062778,0.064167,0.076111,0.062222,0.126667,0.105000,-0.022000,0.042000,0.052000,0.050000,0.155000,-204.000000,-1060.000000,-2271.000000,-152.000000,-401.000000,-118.000000,1744086627508231
22,1744086627514756,0.090001,-0.076668,0.078057,0.090001,0.076112,0.140557,0.104000,-0.022000,0.042000,0.052000,0.049000,0.155000,-198.000000,-1075.000000,-2287.000000,-172.000000,-407.000000,-108.000000,1744086627514717
24,1744086627520319,0.101528,-0.088194,0.089583,0.101528,0.087639,0.152083,0.103000,-0.023000,0.041000,0.052000,0.048000,0.155000,-205.000000,-1100.000000,-2309.000000,-164.000000,-403.000000,-119.000000,1744086627519070
26,1744086627524822,0.115054,-0.101721,0.103110,0.115054,0.101166,0.165610,0.103000,-0.024000,0.041000,0.052000,0.048000,0.155000,-209.000000,-1115.000000,-2294.000000,-166.000000,-374.000000,-100.000000,1744086627523439
